"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"2113"	2018-08-28	6900.75052542984	7119.01183016457	6859.01442170076	7073.31586793238	960549592.196549	118987701862.517	55.6508229765335
"2112"	2018-08-29	7073.87888370384	7127.66916032337	6905.81961078048	7026.76150904609	748458254.775887	121985198840.774	55.2111115842715
"2111"	2018-08-30	7030.84295407443	7055.87811338599	6784.29792259812	6972.53125587433	848614575.985161	121256603710.973	56.0386176214844
"2110"	2018-08-31	6973.45025847637	7087.70640380972	6878.7925692864	7011.8273835363	744803337.153235	120280300951.68	56.2501203502741
"2109"	2018-09-01	7013.05540273191	7272.12876800338	7009.74495594331	7194.35814221216	731140282.344174	120976664966.196	55.7614874470799
"2108"	2018-09-02	7193.60964543457	7388.57248501813	7096.8353938911	7294.62105934319	899408575.367109	124104213387.855	55.0964977656214
"2107"	2018-09-03	7292.10238766943	7335.05327543819	7164.30927507522	7255.97584051601	670707831.18134	125816538674.324	55.4383374172128
"2106"	2018-09-04	7256.30717585286	7406.08217669477	7219.82505808656	7346.79161195522	742907260.857199	125210366209.752	55.8096170048617
"2105"	2018-09-05	7344.84443263661	7387.95876530576	6671.36615906638	6685.50497489188	1373437449.45615	126750231924.451	55.8819576497104
"2104"	2018-09-06	6695.03648072943	6712.73448640259	6281.56406637242	6504.80939044169	1386893298.5507	115549029431.072	57.9899738429913
"2103"	2018-09-07	6504.01184147746	6534.64499516783	6313.15598527625	6385.32267552259	736389441.051271	112264511703.796	57.3471395884727
"2102"	2018-09-08	6396.07369084429	6468.45978200596	6106.76244904893	6174.03005768291	682424041.012446	110413405541.45	58.0135617140333
"2101"	2018-09-09	6172.891482277	6459.64736923712	6140.30356928358	6252.61374274613	581220960.281795	106573259727.455	58.6589203917193
"2100"	2018-09-10	6239.1513100952	6369.0042398276	6201.62240110829	6299.41451674938	575053957.457827	107727747238.997	58.7059324944047
